Sales 2016,Profit 2016,Sales 2017,Profit 2017,Sales 2018,Profit 2018,Sales 2019,Profit 2019,,z-Test: Two Sample for Means,,
16.448,5.5512,957.5775,-383.031,261.96,41.9136,48.896,8.5568,,,,
7.28,1.9656,22.368,2.5164,731.94,219.582,474.43,199.2606,,,Sales 2016,Profit 2016
907.152,90.7152,68.81,-123.858,14.62,6.8714,3.6,1.728,,Mean,242.9741586,24.85899353
18.504,5.7825,2.544,-3.816,407.976,132.5922,454.56,-107.958,,Known Variance,568596.5,39573.81
114.9,34.47,1044.63,240.2649,19.46,5.0596,141.42,-187.3815,,Observations,1993,1993
11.784,4.2717,3083.43,-1665.0522,60.34,15.6884,310.744,-26.6352,,Hypothesized Mean Difference,3,
911.424,68.3568,9.618,-7.0532,11.648,4.2224,12.736,2.2288,,z,12.31436636,
665.88,13.3176,124.2,15.525,90.57,11.7741,6.47,-9.705,,P(Z<=z) one-tail,0,
55.5,9.99,3.264,1.1016,1097.544,123.4737,13.748,-22.6842,,z Critical one-tail,1.644853627,
17.544,5.9211,86.304,9.7092,190.92,-147.963,15.224,-38.8212,,P(Z<=z) two-tail,0,
62.92,10.2245,6.858,-5.715,77.88,3.894,695.7,-27.828,,z Critical two-tail,1.959963985,
78.304,29.364,15.76,3.546,45.98,19.7714,15.66,-12.528,,,,
211.96,8.4784,113.328,35.415,17.46,8.2062,28.854,-21.1596,,z-Test: Two Sample for Means,,
1113.024,111.3024,532.3992,-46.9764,45,4.95,31.744,3.968,,,,
167.968,62.988,212.058,-15.147,21.8,6.104,5.432,-13.58,,,Sales 2017,Profit 2017
272.736,-64.7748,371.168,41.7564,15.26,6.2566,913.43,-169.637,,Mean,223.8499091,29.31427388
14.9,4.172,38.22,17.9634,1029.95,298.6855,372.144,27.9108,,Known Variance,218682,34244.22
21.39,6.2031,75.18,35.3346,208.56,52.14,16.59,5.8065,,Observations,2102,2102
19.752,6.9132,6.16,2.9568,32.4,15.552,38.88,18.6624,,Hypothesized Mean Difference,3,
5.68,1.917,89.99,17.0981,319.41,7.098,2022.272,682.5168,,z,17.46099611,
44.128,12.1352,13.98,6.1512,14.56,6.9888,9.12,3.1008,,P(Z<=z) one-tail,0,
21.2,9.116,25.824,9.3612,30,3.3,33.74,15.5204,,z Critical one-tail,1.644853627,
3.54,-5.487,146.73,68.9631,48.48,16.362,3059.982,679.996,,P(Z<=z) two-tail,0,
19.536,4.884,79.76,22.3328,1.68,0.84,2.808,-1.9656,,z Critical two-tail,1.959963985,
2573.82,746.4078,213.115,-15.2225,75.88,35.6636,153.78,44.5962,,,,
19.44,9.3312,831.936,-114.3912,4.616,1.731,61.02,0.6102,,z-Test: Two Sample for Means,,
9.936,2.7324,97.04,1.213,208.16,56.2032,110.11,31.9319,,,,
8159.952,-1359.992,72.784,-18.196,16.74,8.0352,7.89,3.5505,,,Sales 2018,Profit 2018
275.928,-58.6347,200.984,62.8075,158.368,13.8572,892.98,80.3682,,Mean,235.4872818,31.61777128
12.78,5.2398,12.96,6.2208,20.1,6.633,274.491,-228.7425,,Known Variance,446514.6596,78837.83389
32.064,6.8136,53.34,16.5354,73.584,8.2782,40.08,19.2384,,Observations,2587,2587
177.98,-453.849,32.96,16.1504,6.48,3.1104,37.68,15.8256,,Hypothesized Mean Difference,3,
143.976,8.9985,238.896,-26.8758,77.88,22.5852,9.78,4.89,,z,14.09570612,
26.7,12.549,102.36,-3.8385,64.624,22.6184,760.98,-1141.47,,P(Z<=z) one-tail,0,
838.38,226.3626,36.882,-25.8174,95.976,-10.7973,32.4,15.552,,z Critical one-tail,1.644853627,
609.98,274.491,339.96,67.992,1.788,-3.0396,209.94,54.5844,,P(Z<=z) two-tail,0,
52.448,-131.12,787.53,165.3813,23.92,11.7208,4164.05,83.281,,z Critical two-tail,1.959963985,
20.16,6.552,157.794,-115.7156,75.96,22.788,212.94,53.235,,,,
24.816,1.8612,671.93,20.1579,27.24,13.3476,21.744,7.3386,,z-Test: Two Sample for Means,,
5.48,1.4796,58.38,26.271,47.04,18.3456,7.92,0.693,,,,
503.96,131.0296,105.52,48.5392,30.84,13.878,169.064,-14.7931,,,Sales 2019,Profit 2019
149.95,41.986,80.88,21.0288,226.56,63.4368,168.624,14.7546,,Mean,221.3814176,28.21233986
391.98,113.6742,6.63,1.7901,115.02,51.759,18.336,6.6468,,Known Variance,342526.3779,58498.35974
755.96,204.1092,54.384,1.3596,68.04,19.7316,36.288,12.7008,,Observations,3312,3312
7.408,1.2038,396.802,-11.3372,81.424,-9.1602,111.984,6.999,,Hypothesized Mean Difference,3,
6.048,1.5876,15.88,-3.7715,238.56,26.2416,5.97,-4.577,,z,17.28221815,
31.12,0.3112,3.28,1.4104,20.04,9.6192,2.508,-1.8392,,P(Z<=z) one-tail,0,
2.6,0.2925,899.136,112.392,35.44,16.6568,154.9,69.705,,z Critical one-tail,1.644853627,
18.648,-12.432,71.76,20.0928,11.52,3.456,67.4,17.524,,P(Z<=z) two-tail,0,
6.54,3.0084,51.84,24.8832,4.02,1.9698,2.52,0.1008,,z Critical two-tail,1.959963985,
166.72,41.68,626.352,46.9764,76.176,26.6616,67.8,1.356,,,,
47.88,23.94,19.9,6.567,65.88,18.4464,18.76,5.2528,,H0 - P<=0.5,,
1503.25,496.0725,14.28,6.7116,43.12,20.6976,12.12,2.5452,,H1 - P>0.5,,
25.92,12.4416,20.8,6.5,82.8,10.35,11.34,5.5566,,,,
3059.982,-509.997,23.68,8.88,384.45,103.8015,159.8,70.312,,,,
2519.958,-251.9958,452.45,-244.323,149.97,5.9988,18.96,8.532,,,,
76.728,-53.7096,62.982,-14.6958,1951.84,585.552,34.384,3.8682,,,,
10.43,-18.2525,1188,-950.4,171.55,80.6285,1924.16,312.676,,,,
31.2,9.75,89.584,4.4792,157.92,17.766,12.7,5.842,,,,
78.6,-62.88,5.584,1.8148,203.184,15.2388,21.4,6.206,,,,
27.552,9.2988,22.704,8.2302,14.62,6.8714,32.784,-52.4544,,,,
9.84,2.8536,19.776,-13.8432,944.93,236.2325,47.984,14.3952,,,,
45.48,20.9208,72.704,19.0848,5.98,2.691,62.592,13.3008,,,,
289.2,83.868,479.988,-383.9904,28.4,13.348,4.276,-6.6278,,,,
9.344,1.168,27.168,2.7168,27.68,9.688,27.92,8.0968,,,,
39.96,18.7812,2.2,0.968,7.16,3.4368,399.672,-14.9877,,,,
102.3,26.598,622.45,136.939,37.224,3.7224,5443.96,2504.2216,,,,
99.136,8.6744,21.98,0.2198,20.016,6.255,302.67,72.6408,,,,
51.94,21.2954,161.568,-28.2744,93.06,26.0568,56.07,25.2315,,,,
3991.98,1995.99,389.696,43.8408,302.376,22.6782,6,2.1,,,,
275.94,80.0226,12.132,-8.4924,25.92,9.396,429.6,-93.08,,,,
468.9,206.316,82.368,-19.5624,419.68,-356.728,31.968,6.3936,,,,
43.57,13.071,53.92,4.044,11.688,-4.6752,887.271,-63.3765,,,,
7.16,3.58,647.904,56.6916,31.984,11.1944,21.696,7.0512,,,,
19.92,6.972,79.9,35.156,177.225,-120.513,79.92,37.5624,,,,
2.89,1.3583,209.93,92.3692,4.044,-2.8308,12.28,5.7716,,,,
17.856,1.116,5.28,2.3232,7.408,1.2038,542.94,152.0232,,,,
509.97,-407.976,10.92,4.095,321.568,28.1372,2.04,0.9588,,,,
30.992,10.0724,2.08,-3.432,7.61,3.5767,207.846,2.3094,,,,
71.928,8.3916,1114.4,376.11,3347.37,636.0003,160.776,10.0485,,,,
211.96,8.4784,1038.84,51.942,80.58,22.5624,24.2,7.986,,,,
575.92,71.99,141.76,47.844,361.92,162.864,359.976,130.4913,,,,
115.36,49.6048,239.8,47.96,328.224,28.7196,3.52,1.0208,,,,
5.184,-3.6288,31.104,10.8864,7.56,0.3024,11.52,4.176,,,,
234.45,103.158,26.8,12.864,254.058,-169.372,242.94,9.7176,,,,
2.624,0.4264,4.752,1.6038,194.528,24.316,179.97,86.3856,,,,
246.384,27.7182,959.984,335.9944,961.48,-204.3145,99.696,33.6474,,,,
1799.97,701.9883,14.368,4.49,19.096,6.6836,27.936,9.4284,,,,
12.462,-20.5623,4.96,2.3312,18.496,6.2424,84.98,18.6956,,,,
9.568,3.4684,88.8,-2.22,255.984,54.3966,18.72,6.552,,,,
39.072,9.768,8.652,-20.3322,86.97,-48.7032,348.208,30.4682,,,,
239.97,86.3892,23.832,2.6811,32.4,15.552,35.784,-28.6272,,,,
69.99,30.0957,12.176,-18.8728,1082.48,10.8248,14.4,7.056,,,,
4.812,-3.6892,41.9,8.799,56.91,27.3168,619.95,111.591,,,,
62.31,22.4316,375.4575,-157.0095,77.6,38.024,89.52,42.0744,,,,
9.94,3.0814,83.976,-1.0497,14.28,6.5688,350.973,152.0883,,,,
340.92,3.4092,482.34,-337.638,15.136,3.5948,164.99,49.497,,,,
545.94,87.3504,2.96,0.777,466.768,52.5114,268.576,90.6444,,,,
703.968,87.996,70.12,21.036,15.232,1.7136,2999.95,1379.977,,,,
92.52,24.9804,103.92,36.372,6.264,2.0358,51.45,13.8915,,,,
62.65,28.819,899.91,377.9622,251.52,81.744,11.96,5.382,,,,
94.85,45.528,51.312,18.6006,99.99,34.9965,1126.02,56.301,,,,
151.2,32.13,254.744,-312.0614,290.898,-67.8762,15.12,4.914,,,,
73.98,19.9746,55.48,26.6304,54.224,3.389,7.872,0.8856,,,,
479.97,177.5889,105.42,51.6558,786.744,-258.5016,210.98,21.098,,,,
2735.952,341.994,2.74,0.7398,100.24,33.831,19.68,6.888,,,,
7.992,0.5994,8.34,2.1684,37.764,-27.6936,25.92,12.4416,,,,
32.96,14.1728,46.74,11.685,82.8,-20.7,6.48,3.1104,,,,
70.368,6.1572,6354.95,3177.475,20.724,-13.816,86.352,8.6352,,,,
449.15,8.983,18.392,5.2877,4.896,-3.4272,95.984,11.998,,,,
11.07,5.0922,129.568,-25.9136,6.79,2.3086,4.938,-3.6212,,,,
82.8,6.624,14.112,-21.168,24.56,11.5432,5.67,0.1134,,,,
170.24,53.2,22.2,10.434,3.048,1.0668,25.86,6.7236,,,,
100.792,6.2995,36.336,-7.2672,49.12,23.0864,276.784,89.9548,,,,
333.999,3.9294,666.248,-149.9058,4355.168,1415.4296,110.352,8.2764,,,,
19.456,3.4048,52.512,19.692,388.704,-4.8588,15.47,4.1769,,,,
13,1.3,190.72,11.92,8.26,3.7996,7.16,3.4368,,,,
14.56,5.5328,10.752,3.36,17.04,6.9864,18.16,1.816,,,,
646.74,258.696,152.94,41.2938,34.4,15.824,11.84,5.6832,,,,
45.48,15.918,283.92,70.98,36.24,11.325,62.72,24.4608,,,,
21.36,5.7672,646.776,-145.5246,23.2,10.44,2939.93,764.3818,,,,
93.024,33.7212,250.272,15.642,7.36,0.1472,14.016,1.752,,,,
218.75,-161.875,11.364,-17.046,104.79,29.3412,71.976,-8.997,,,,
1256.22,75.3732,8.72,-1.744,1043.92,271.4192,107.982,-26.9955,,,,
142.776,17.847,3.96,0,99.136,30.98,137.94,35.8644,,,,
60.89,15.2225,2.61,1.2006,50.96,25.48,239.97,26.3967,,,,
7.218,-5.5338,160.72,78.7528,49.536,17.3376,37.74,12.8316,,,,
43.188,-31.6712,19.92,9.7608,35.952,3.5952,279.9,137.151,,,,
131.904,47.8152,7.3,2.19,2396.2656,-317.1528,449.91,157.4685,,,,
3.282,-2.6256,51.52,1.5456,131.136,-32.784,12.128,-20.6176,,,,
21.168,2.3814,70.98,4.9686,57.584,0.7198,8.34,2.1684,,,,
55.188,-10.1178,294.93,144.5157,383.8,38.38,8.57,2.2282,,,,
8.69,-14.773,301.96,87.5684,189.588,-145.3508,119.616,40.3704,,,,
332.94,53.2704,555.21,178.901,408.744,76.6395,5.22,2.4012,,,,
66.3,8.619,523.48,130.87,291.96,54.7425,4.768,0.4768,,,,
5.58,2.1762,161.82,46.9278,4.768,-0.7748,12.96,6.2208,,,,
177.536,62.1376,392.94,43.2234,714.3,207.147,94.85,45.528,,,,
129.568,-24.294,999.432,124.929,1007.979,43.1991,13.48,3.5048,,,,
284.82,74.0532,724.08,-135.765,313.488,113.6394,14.91,4.6221,,,,
36.84,10.3152,918.785,-118.1295,12.22,3.666,18.28,9.14,,,,
10.368,3.6288,2.724,-4.2222,194.94,23.3928,207,51.75,,,,
166.84,18.7695,166.24,24.936,70.95,20.5755,32.35,16.175,,,,
79.984,13.9972,33.4,16.032,91.36,42.0256,7.71,3.4695,,,,
62.31,22.4316,198.272,17.3488,242.94,29.1528,40.3,10.881,,,,
25.16,-11.322,47.36,17.76,22.05,10.584,34.58,14.5236,,,,
46.72,15.768,200.984,62.8075,59.52,15.4752,129.3,6.465,,,,
55.48,26.6304,97.696,31.7512,161.94,9.7164,12.74,5.733,,,,
32.432,3.2432,2.696,0.8088,263.88,71.2476,8.82,2.3814,,,,
20.32,6.9088,18.588,-13.6312,30.48,7.9248,120.784,-13.5882,,,,
59.808,19.4376,4.896,-3.4272,9.84,2.8536,419.136,-68.1096,,,,
457.568,51.4764,369.912,-13.8717,35.12,9.1312,69.375,-47.175,,,,
634.116,-172.1172,79.92,28.7712,63.88,24.9132,31.68,2.772,,,,
159.98,57.5928,58.32,27.9936,747.558,-96.1146,2003.168,250.396,,,,
11.36,5.3392,107.982,-26.9955,8.928,3.348,9.344,3.1536,,,,
50.94,25.47,544.008,40.8006,23.56,7.068,604.768,60.4768,,,,
5.64,2.7072,59.94,28.1718,1272.63,-814.4832,59.97,-11.994,,,,
362.25,0,23.92,11.7208,28.485,-20.889,78.304,29.364,,,,
359.32,7.1864,4.28,1.926,185.376,-34.758,21.456,6.9732,,,,
24.56,6.8768,32.07,-22.449,78.272,5.8704,86.26,29.3284,,,,
99.98,42.9914,24,-2.7,4.788,-7.9002,139.04,38.9312,,,,
572.58,34.3548,35.49,-15.6156,95.76,7.182,46.8,16.38,,,,
1325.85,238.653,47.984,0.5998,40.2,19.296,210.58,12.6348,,,,
116.784,21.897,186.69,87.7443,14.7,6.615,30.96,10.062,,,,
19.9,6.567,348.928,34.8928,704.25,84.51,239.984,38.9974,,,,
37.408,13.0928,143.96,69.1008,93.98,13.1572,5.229,-4.1832,,,,
63.552,-34.9536,15.42,4.1634,189.882,-94.941,285.552,35.694,,,,
32.76,3.6855,43.04,21.0896,119.616,40.3704,3.882,-2.588,,,,
9.96,4.5816,332.94,79.9056,255.76,81.8432,115.296,40.3536,,,,
21.72,10.6428,132.79,63.7392,241.568,18.1176,5.184,1.8144,,,,
43.176,4.3176,12.96,6.2208,69.3,22.869,65.584,23.7742,,,,
1983.968,247.996,21.56,10.3488,22.62,-15.08,22.2,-26.085,,,,
