Sales 2016,Quantity 2016,Discount 2016,Profit 2016,Sales 2017,Quantity 2017,Discount 2017,Profit 2017,Sales 2018,Quantity 2018,Discount 2018,Profit 2018,Sales 2019,Quantity 2019,Discount 2019,Profit 2019,,,,,,,
16.448,2,0.2,5.5512,957.5775,5,0.45,-383.031,261.96,2,0,41.9136,48.896,4,0.2,8.5568,,,2016,Sales,Quantity,Discount,Profit
7.28,4,0,1.9656,22.368,2,0.2,2.5164,731.94,3,0,219.582,474.43,11,0,199.2606,,,Sales,568311.1688,,,
907.152,6,0.2,90.7152,68.81,5,0.8,-123.858,14.62,2,0,6.8714,3.6,2,0,1.728,,,Quantity,314.2481878,5.024732072,,
18.504,3,0.2,5.7825,2.544,3,0.8,-3.816,407.976,3,0.2,132.5922,454.56,5,0.2,-107.958,,,Discount,0.455678532,-0.002539367,0.042298009,
114.9,5,0,34.47,1044.63,3,0,240.2649,19.46,7,0,5.0596,141.42,5,0.6,-187.3815,,,Profit,27252.11318,23.01152041,-10.30738926,39553.95495
11.784,3,0.2,4.2717,3083.43,7,0.5,-1665.0522,60.34,7,0,15.6884,310.744,4,0.3,-26.6352,,,,,,,
911.424,4,0.2,68.3568,9.618,2,0.7,-7.0532,11.648,2,0.2,4.2224,12.736,4,0.2,2.2288,,,2017,Sales ,Quantity ,Discount ,Profit 
665.88,6,0,13.3176,124.2,3,0.2,15.525,90.57,3,0,11.7741,6.47,5,0.8,-9.705,,,Sales ,218577.9791,,,
55.5,2,0,9.99,3.264,2,0.2,1.1016,1097.544,7,0.2,123.4737,13.748,14,0.8,-22.6842,,,Quantity ,284.8729565,5.03208602,,
17.544,3,0.2,5.9211,86.304,6,0.2,9.7092,190.92,5,0.6,-147.963,15.224,2,0.8,-38.8212,,,Discount ,-4.927631512,0.006825041,0.043723202,
62.92,1,0.2,10.2245,6.858,6,0.7,-5.715,77.88,2,0,3.894,695.7,2,0.5,-27.828,,,Profit ,40854.42293,21.89810656,-10.54085029,34227.92886
78.304,2,0.2,29.364,15.76,2,0.2,3.546,45.98,2,0,19.7714,15.66,5,0.7,-12.528,,,,,,,
211.96,4,0,8.4784,113.328,9,0.2,35.415,17.46,2,0,8.2062,28.854,6,0.7,-21.1596,,,2018,Sales,Quantity,Discount,Profit
1113.024,8,0.2,111.3024,532.3992,3,0.32,-46.9764,45,3,0,4.95,31.744,2,0.2,3.968,,,Sales,446342.0602,,,
167.968,4,0.2,62.988,212.058,3,0.3,-15.147,21.8,2,0,6.104,5.432,2,0.8,-13.58,,,Quantity,283.5597082,4.846565198,,
272.736,3,0.2,-64.7748,371.168,4,0.2,41.7564,15.26,7,0,6.2566,913.43,5,0.3,-169.637,,,Discount,-5.163781124,0.000403419,0.041454466,
14.9,5,0,4.172,38.22,6,0,17.9634,1029.95,5,0,298.6855,372.144,3,0.2,27.9108,,,Profit,119570.4933,60.88902166,-10.46790536,78807.35928
21.39,1,0,6.2031,75.18,6,0,35.3346,208.56,6,0,52.14,16.59,1,0,5.8065,,,,,,,
19.752,3,0.2,6.9132,6.16,2,0,2.9568,32.4,5,0,15.552,38.88,6,0,18.6624,,,2019,Sales,Quantity,Discount,Profit
5.68,2,0.2,1.917,89.99,1,0,17.0981,319.41,5,0.1,7.098,2022.272,8,0.2,682.5168,,,Sales,342422.9581,,,
44.128,4,0.2,12.1352,13.98,2,0,6.1512,14.56,2,0,6.9888,9.12,3,0,3.1008,,,Quantity,248.4495879,4.934798653,,
21.2,2,0,9.116,25.824,6,0.2,9.3612,30,2,0,3.3,33.74,7,0,15.5204,,,Discount,-4.067539708,0.008838414,0.043013849,
3.54,2,0.8,-5.487,146.73,3,0,68.9631,48.48,4,0.2,16.362,3059.982,2,0.1,679.996,,,Profit,75327.60079,28.88318514,-10.95087917,58480.69719
19.536,3,0.2,4.884,79.76,4,0,22.3328,1.68,1,0,0.84,2.808,3,0.7,-1.9656,,,,,,,
2573.82,9,0,746.4078,213.115,5,0.3,-15.2225,75.88,2,0,35.6636,153.78,11,0,44.5962,,,,,,,
19.44,3,0,9.3312,831.936,8,0.2,-114.3912,4.616,1,0.2,1.731,61.02,3,0,0.6102,,,All the values are positively varies to each other,,,,
9.936,3,0.2,2.7324,97.04,2,0.2,1.213,208.16,1,0,56.2032,110.11,7,0,31.9319,,,,,,,
8159.952,8,0.4,-1359.992,72.784,1,0.2,-18.196,16.74,3,0,8.0352,7.89,1,0,3.5505,,,,,,,
275.928,3,0.2,-58.6347,200.984,7,0.2,62.8075,158.368,7,0.2,13.8572,892.98,2,0,80.3682,,,,,,,
12.78,3,0,5.2398,12.96,2,0,6.2208,20.1,3,0,6.633,274.491,3,0.7,-228.7425,,,,,,,
32.064,6,0.2,6.8136,53.34,3,0,16.5354,73.584,2,0.2,8.2782,40.08,6,0,19.2384,,,,,,,
177.98,5,0.8,-453.849,32.96,2,0,16.1504,6.48,1,0,3.1104,37.68,2,0,15.8256,,,,,,,
143.976,3,0.2,8.9985,238.896,6,0.2,-26.8758,77.88,6,0,22.5852,9.78,1,0,4.89,,,,,,,
26.7,5,0,12.549,102.36,3,0.2,-3.8385,64.624,7,0.2,22.6184,760.98,5,0.8,-1141.47,,,,,,,
838.38,2,0,226.3626,36.882,3,0.7,-25.8174,95.976,3,0.2,-10.7973,32.4,5,0,15.552,,,,,,,
609.98,2,0,274.491,339.96,5,0.2,67.992,1.788,3,0.8,-3.0396,209.94,6,0,54.5844,,,,,,,
52.448,2,0.8,-131.12,787.53,3,0,165.3813,23.92,4,0,11.7208,4164.05,5,0,83.281,,,,,,,
20.16,4,0.2,6.552,157.794,1,0.7,-115.7156,75.96,2,0,22.788,212.94,3,0,53.235,,,,,,,
24.816,2,0.2,1.8612,671.93,7,0,20.1579,27.24,6,0,13.3476,21.744,1,0.2,7.3386,,,,,,,
5.48,2,0,1.4796,58.38,7,0,26.271,47.04,3,0,18.3456,7.92,5,0.2,0.693,,,,,,,
503.96,4,0,131.0296,105.52,4,0,48.5392,30.84,4,0,13.878,169.064,7,0.2,-14.7931,,,,,,,
149.95,5,0,41.986,80.88,6,0,21.0288,226.56,6,0,63.4368,168.624,9,0.2,14.7546,,,,,,,
391.98,2,0,113.6742,6.63,3,0,1.7901,115.02,9,0,51.759,18.336,3,0.2,6.6468,,,,,,,
755.96,4,0,204.1092,54.384,2,0.2,1.3596,68.04,7,0,19.7316,36.288,7,0.2,12.7008,,,,,,,
7.408,2,0.2,1.2038,396.802,7,0.3,-11.3372,81.424,2,0.2,-9.1602,111.984,2,0.2,6.999,,,,,,,
6.048,3,0.2,1.5876,15.88,5,0.2,-3.7715,238.56,3,0,26.2416,5.97,5,0.7,-4.577,,,,,,,
31.12,4,0,0.3112,3.28,1,0,1.4104,20.04,3,0,9.6192,2.508,2,0.7,-1.8392,,,,,,,
2.6,1,0.2,0.2925,899.136,4,0.2,112.392,35.44,1,0,16.6568,154.9,5,0,69.705,,,,,,,
18.648,7,0.7,-12.432,71.76,6,0,20.0928,11.52,4,0,3.456,67.4,5,0,17.524,,,,,,,
6.54,1,0,3.0084,51.84,8,0,24.8832,4.02,2,0,1.9698,2.52,2,0,0.1008,,,,,,,
166.72,2,0,41.68,626.352,3,0.2,46.9764,76.176,3,0.2,26.6616,67.8,4,0,1.356,,,,,,,
47.88,6,0,23.94,19.9,5,0,6.567,65.88,6,0,18.4464,18.76,2,0,5.2528,,,,,,,
1503.25,5,0,496.0725,14.28,7,0,6.7116,43.12,14,0,20.6976,12.12,4,0,2.5452,,,,,,,
25.92,4,0,12.4416,20.8,2,0.2,6.5,82.8,2,0.2,10.35,11.34,1,0,5.5566,,,,,,,
3059.982,3,0.4,-509.997,23.68,2,0.2,8.88,384.45,11,0,103.8015,159.8,4,0,70.312,,,,,,,
2519.958,7,0.4,-251.9958,452.45,5,0.5,-244.323,149.97,3,0,5.9988,18.96,2,0,8.532,,,,,,,
76.728,3,0.6,-53.7096,62.982,3,0.4,-14.6958,1951.84,8,0,585.552,34.384,1,0.2,3.8682,,,,,,,
10.43,7,0.8,-18.2525,1188,9,0.7,-950.4,171.55,5,0,80.6285,1924.16,8,0.2,312.676,,,,,,,
31.2,3,0.2,9.75,89.584,2,0.2,4.4792,157.92,5,0.2,17.766,12.7,2,0,5.842,,,,,,,
