Sales 2016,Bin,Bin,Frequency,Sales 2017,Bin,Bin,Frequency,Sales 2018,Bin,Bin,Frequency,Sales 2019,Bin,Bin,Frequency
16.448,10,10,287,957.5775,10,10,297,261.96,10,10,328,48.896,10,10,450
7.28,20,20,310,22.368,20,20,291,731.94,20,20,383,474.43,20,20,507
907.152,30,30,157,68.81,30,30,179,14.62,30,30,221,3.6,30,30,288
18.504,40,40,122,2.544,40,40,122,407.976,40,40,202,454.56,40,40,217
114.9,50,50,108,1044.63,50,50,93,19.46,50,50,135,141.42,50,50,155
11.784,60,60,70,3083.43,60,60,75,60.34,60,60,87,310.744,60,60,109
911.424,70,70,69,9.618,70,70,67,11.648,70,70,92,12.736,70,70,98
665.88,80,80,40,124.2,80,80,64,90.57,80,80,65,6.47,80,80,101
55.5,90,90,33,3.264,90,90,51,1097.544,90,90,67,13.748,90,90,78
17.544,100,100,40,86.304,100,100,37,190.92,100,100,52,15.224,100,100,82
62.92,110,110,27,6.858,110,110,42,77.88,110,110,43,695.7,110,110,54
78.304,120,120,24,15.76,120,120,35,45.98,120,120,44,15.66,120,120,52
211.96,130,130,35,113.328,130,130,33,17.46,130,130,37,28.854,130,130,48
1113.024,140,140,19,532.3992,140,140,24,45,140,140,19,31.744,140,140,22
167.968,150,150,33,212.058,150,150,30,21.8,150,150,23,5.432,150,150,43
272.736,160,160,21,371.168,160,160,28,15.26,160,160,31,913.43,160,160,34
14.9,170,170,17,38.22,170,170,17,1029.95,170,170,21,372.144,170,170,41
21.39,180,180,23,75.18,180,180,15,208.56,180,180,25,16.59,180,180,24
19.752,190,190,11,6.16,190,190,19,32.4,190,190,24,38.88,190,190,29
5.68,200,200,20,89.99,200,200,28,319.41,200,200,29,2022.272,200,200,42
44.128,210,210,12,13.98,210,210,24,14.56,210,210,19,9.12,210,210,32
21.2,220,220,18,25.824,220,220,12,30,220,220,12,33.74,220,220,32
3.54,230,230,11,146.73,230,230,10,48.48,230,230,10,3059.982,230,230,28
19.536,240,240,17,79.76,240,240,17,1.68,240,240,16,2.808,240,240,32
2573.82,250,250,13,213.115,250,250,12,75.88,250,250,28,153.78,250,250,28
19.44,260,260,15,831.936,260,260,12,4.616,260,260,19,61.02,260,260,26
9.936,270,270,8,97.04,270,270,13,208.16,270,270,11,110.11,270,270,12
8159.952,280,280,17,72.784,280,280,15,16.74,280,280,15,7.89,280,280,29
275.928,290,290,11,200.984,290,290,12,158.368,290,290,13,892.98,290,290,20
