Sales 2016,Moving Average,Sales 2017,Moving Average,Sales 2018,Moving Average,Sales 2019,Moving Average,,,,,,,
16.448,#N/A,957.5775,#N/A,261.96,#N/A,48.896,#N/A,,,,,,,
7.28,#N/A,22.368,#N/A,731.94,#N/A,474.43,#N/A,,,,,,,
907.152,#N/A,68.81,#N/A,14.62,#N/A,3.6,#N/A,,,,,,,
18.504,237.346,2.544,262.824875,407.976,354.124,454.56,245.3715,,,,,,,
114.9,261.959,1044.63,284.588,19.46,293.499,141.42,268.5025,,,,,,,
11.784,263.085,3083.43,1049.8535,60.34,125.599,310.744,227.581,,,,,,,
911.424,264.153,9.618,1035.0555,11.648,124.856,12.736,229.865,,,,,,,
665.88,425.997,124.2,1065.4695,90.57,45.5045,6.47,117.8425,,,,,,,
55.5,411.147,3.264,805.128,1097.544,315.0255,13.748,85.9245,,,,,,,
17.544,412.587,86.304,55.8465,190.92,347.6705,15.224,12.0445,,,,,,,
62.92,200.461,6.858,55.1565,77.88,364.2285,695.7,182.7855,,,,,,,
78.304,53.567,15.76,28.0465,45.98,353.081,15.66,185.083,,,,,,,
211.96,92.682,113.328,55.5625,17.46,83.06,28.854,188.8595,,,,,,,
1113.024,366.552,532.3992,167.0863,45,46.58,31.744,192.9895,,,,,,,
167.968,392.814,212.058,218.3863,21.8,32.56,5.432,20.4225,,,,,,,
272.736,441.422,371.168,307.2383,15.26,24.88,913.43,244.865,,,,,,,
14.9,392.157,38.22,288.4613,1029.95,278.0025,372.144,330.6875,,,,,,,
21.39,119.2485,75.18,174.1565,208.56,318.8925,16.59,326.899,,,,,,,
19.752,82.1945,6.16,122.682,32.4,321.5425,38.88,335.261,,,,,,,
5.68,15.4305,89.99,52.3875,319.41,397.58,2022.272,612.4715,,,,,,,
44.128,22.7375,13.98,46.3275,14.56,143.7325,9.12,521.7155,,,,,,,
21.2,22.69,25.824,33.9885,30,99.0925,33.74,526.003,,,,,,,
3.54,18.637,146.73,69.131,48.48,103.1125,3059.982,1281.2785,,,,,,,
19.536,22.101,79.76,66.5735,1.68,23.68,2.808,776.4125,,,,,,,
2573.82,654.524,213.115,116.35725,75.88,39.01,153.78,812.5775,,,,,,,
19.44,654.084,831.936,317.88525,4.616,32.664,61.02,819.3975,,,,,,,
9.936,655.683,97.04,305.46275,208.16,72.584,110.11,81.9295,,,,,,,
8159.952,2690.787,72.784,303.71875,16.74,76.349,7.89,83.2,,,,,,,
275.928,2116.314,200.984,300.686,158.368,96.971,892.98,268,,,,,,,
12.78,2114.649,12.96,95.942,20.1,100.842,274.491,321.36775,,,,,,,
32.064,2120.181,53.34,85.017,73.584,67.198,40.08,303.86025,,,,,,,
177.98,124.688,32.96,75.061,6.48,64.633,37.68,311.30775,,,,,,,
143.976,91.7,238.896,84.539,77.88,44.511,9.78,90.50775,,,,,,,
26.7,95.18,102.36,106.889,64.624,55.642,760.98,212.13,,,,,,,
838.38,296.759,36.882,102.7745,95.976,61.24,32.4,210.21,,,,,,,
609.98,404.759,339.96,179.5245,1.788,60.067,209.94,253.275,,,,,,,
52.448,381.877,787.53,316.683,23.92,46.577,4164.05,1291.8425,,,,,,,
20.16,380.242,157.794,330.5415,75.96,49.411,212.94,1154.8325,,,,,,,
24.816,176.851,671.93,489.3035,27.24,32.227,21.744,1152.1685,,,,,,,
5.48,25.726,58.38,418.9085,47.04,43.54,7.92,1101.6635,,,,,,,
503.96,138.604,105.52,248.406,30.84,45.27,169.064,102.917,,,,,,,
149.95,171.0515,80.88,229.1775,226.56,82.92,168.624,91.838,,,,,,,
391.98,262.8425,6.63,62.8525,115.02,104.865,18.336,90.986,,,,,,,
755.96,450.4625,54.384,61.8535,68.04,110.115,36.288,98.078,,,,,,,
7.408,326.3245,396.802,134.674,81.424,122.761,111.984,83.808,,INTERVALS - 4,,,,,
6.048,290.349,15.88,118.424,238.56,125.761,5.97,43.1445,,,,,,,
31.12,200.134,3.28,117.5865,20.04,102.016,2.508,39.1875,,,,,,,
2.6,11.794,899.136,328.7745,35.44,93.866,154.9,68.8405,,,,,,,
18.648,14.604,71.76,247.514,11.52,76.39,67.4,57.6945,,,,,,,
6.54,14.727,51.84,256.504,4.02,17.755,2.52,56.832,,,,,,,
166.72,48.627,626.352,412.272,76.176,31.789,67.8,73.155,,,,,,,
47.88,59.947,19.9,192.463,65.88,39.399,18.76,39.12,,,,,,,
1503.25,431.0975,14.28,178.093,43.12,47.299,12.12,25.3,,,,,,,
25.92,435.9425,20.8,170.333,82.8,66.994,11.34,27.505,,,,,,,
3059.982,1159.258,23.68,19.665,384.45,144.0625,159.8,50.505,,,,,,,
2519.958,1777.2775,452.45,127.8025,149.97,165.085,18.96,50.555,,,,,,,
76.728,1420.647,62.982,139.978,1951.84,642.265,34.384,56.121,,,,,,,
10.43,1416.7745,1188,431.778,171.55,664.4525,1924.16,534.326,,,,,,,
31.2,659.579,89.584,448.254,157.92,607.82,12.7,497.551,,,,,,,
78.6,49.2395,5.584,336.5375,203.184,621.1235,21.4,498.161,,,,,,,
27.552,36.9455,22.704,326.468,14.62,136.8185,32.784,497.761,,,,,,,
9.84,36.798,19.776,34.412,944.93,330.1635,47.984,28.717,,,,,,,
45.48,40.368,72.704,30.192,5.98,292.1785,62.592,41.19,,,,,,,
289.2,93.018,479.988,148.793,28.4,248.4825,4.276,36.909,,,,,,,
9.344,88.466,27.168,149.909,27.68,251.7475,27.92,35.693,,,,,,,
39.96,95.996,2.2,145.515,7.16,17.305,399.672,123.615,,,,,,,
102.3,110.201,622.45,282.9515,37.224,25.116,5443.96,1468.957,,,,,,,
99.136,62.685,21.98,168.4495,20.016,23.02,302.67,1543.5555,,,,,,,
51.94,73.334,161.568,202.0495,93.06,39.365,56.07,1550.593,,,,,,,
3991.98,1061.339,389.696,298.9235,302.376,113.169,6,1452.175,,,,,,,
275.94,1104.749,12.132,146.344,25.92,110.343,429.6,198.585,,,,,,,
468.9,1197.19,82.368,161.441,419.68,210.259,31.968,130.9095,,,,,,,
43.57,1195.0975,53.92,134.529,11.688,189.916,887.271,338.70975,,,,,,,
7.16,198.8925,647.904,199.081,31.984,122.318,21.696,342.63375,,,,,,,
