Order Date,Ship Date,Category,Sub-Category,Sales,Quantity,Discount,Profit,,Sales,Sum of Profit,,,,,,,,
03-01-2016,07-01-2016,Office Supplies,Paper,16.448,2,0.2,5.5512,,0.852,-0.5964,,,,,,,,
09-06-2016,14-06-2016,Office Supplies,Art,7.28,4,0,1.9656,,0.876,-1.4016,,,,,,,,
09-06-2016,14-06-2016,Technology,Phones,907.152,6,0.2,90.7152,,0.898,-1.5715,,,,,,,,
09-06-2016,14-06-2016,Office Supplies,Binders,18.504,3,0.2,5.7825,,1.044,-1.827,,,,,,,,
09-06-2016,14-06-2016,Office Supplies,Appliances,114.9,5,0,34.47,,1.08,-1.728,,,,,,,,
04-01-2016,08-01-2016,Office Supplies,Labels,11.784,3,0.2,4.2717,,1.167,-0.8558,,,,,,,,
09-06-2016,14-06-2016,Technology,Phones,911.424,4,0.2,68.3568,,1.234,-1.9744,,,,,,,,
11-11-2016,18-11-2016,Office Supplies,Storage,665.88,6,0,13.3176,,1.344,0.9744,,,,,,,,
13-05-2016,15-05-2016,Office Supplies,Storage,55.5,2,0,9.99,,1.365,-0.91,,,,,,,,
01-08-2016,05-08-2016,Office Supplies,Labels,17.544,3,0.2,5.9211,,1.476,-2.214,,,,,,,,
01-08-2016,05-08-2016,Office Supplies,Appliances,62.92,1,0.2,10.2245,,1.632,0.5508,,,,,,,,
01-08-2016,05-08-2016,Office Supplies,Paper,78.304,2,0.2,29.364,,1.788,-3.0396,,,,,,,,
20-10-2016,25-10-2016,Office Supplies,Storage,211.96,4,0,8.4784,,1.869,-1.3083,,,,,,,,
05-12-2016,10-12-2016,Office Supplies,Art,1113.024,8,0.2,111.3024,,1.944,-1.4256,,,,,,,,
05-12-2016,10-12-2016,Technology,Phones,167.968,4,0.2,62.988,,1.98,0.891,,,,,,,,
04-01-2016,08-01-2016,Office Supplies,Storage,272.736,3,0.2,-64.7748,,1.984,0.6696,,,,,,,,
