Order Date,Ship Date,Category,Sub-Category,Sales,Quantity,Discount,Profit,,Row Labels,Sum of Profit,,,,,,,
11-10-2017,18-10-2017,Furniture,Tables,957.5775,5,0.45,-383.031,,0.984,-1.476,,,,,,,
11-10-2017,18-10-2017,Office Supplies,Storage,22.368,2,0.2,2.5164,,1.08,-0.792,,,,,,,
22-11-2017,26-11-2017,Office Supplies,Appliances,68.81,5,0.8,-123.858,,1.112,-1.8904,,,,,,,
22-11-2017,26-11-2017,Office Supplies,Binders,2.544,3,0.8,-3.816,,1.24,0.5828,,,,,,,
25-09-2017,30-09-2017,Furniture,Tables,1044.63,3,0,240.2649,,1.362,-2.1792,,,,,,,
17-09-2017,21-09-2017,Furniture,Bookcases,3083.43,7,0.5,-1665.0522,,1.448,0.2353,,,,,,,
17-09-2017,21-09-2017,Office Supplies,Binders,9.618,2,0.7,-7.0532,,1.476,-2.2878,,,,,,,
17-09-2017,21-09-2017,Furniture,Furnishings,124.2,3,0.2,15.525,,1.696,-2.544,,,,,,,
17-09-2017,21-09-2017,Office Supplies,Envelopes,3.264,2,0.2,1.1016,,1.72,-2.838,,,,,,,
17-09-2017,21-09-2017,Office Supplies,Art,86.304,6,0.2,9.7092,,1.78,0.4984,,,,,,,
17-09-2017,21-09-2017,Office Supplies,Binders,6.858,6,0.7,-5.715,,1.872,-1.3104,,,,,,,
17-09-2017,21-09-2017,Office Supplies,Art,15.76,2,0.2,3.546,,1.928,-2.9884,,,,,,,
27-12-2017,31-12-2017,Office Supplies,Envelopes,113.328,9,0.2,35.415,,1.938,-1.3566,,,,,,,
27-12-2017,31-12-2017,Furniture,Bookcases,532.3992,3,0.32,-46.9764,,2.025,-1.35,,,,,,,
27-12-2017,31-12-2017,Furniture,Chairs,212.058,3,0.3,-15.147,,2.08,-3.432,,,,,,,
27-12-2017,31-12-2017,Technology,Phones,371.168,4,0.2,41.7564,,2.2,0.968,,Quantity,,,,,
18-04-2017,22-04-2017,Office Supplies,Binders,38.22,6,0,17.9634,,2.21,0.5967,,,,,,,
18-04-2017,22-04-2017,Office Supplies,Labels,75.18,6,0,35.3346,,2.286,-1.6764,,Mean,3.795908658,,,,
18-04-2017,22-04-2017,Furniture,Furnishings,6.16,2,0,2.9568,,2.304,0.2592,,Standard Error,0.048939666,,,,
18-04-2017,22-04-2017,Furniture,Chairs,89.99,1,0,17.0981,,2.376,0.7425,,Median,3,,,,
24-11-2017,30-11-2017,Technology,Accessories,13.98,2,0,6.1512,,2.412,-2.01,,Mode,2,,,,
24-11-2017,30-11-2017,Office Supplies,Binders,25.824,6,0.2,9.3612,,2.469,-1.8106,,Standard Deviation,2.243764941,,,,
24-11-2017,30-11-2017,Office Supplies,Paper,146.73,3,0,68.9631,,2.48,1.1656,,Sample Variance,5.034481111,,,,
